"","title","marks","clips","score"
"547","A l’abordage（原題）","4","132","3.9"
"548","グンジャン・サクセナ －夢にはばたいて－","76","59","3.8"
"549","LUDO ～4つの物語～","50","84","3.9"
"550","内なる獣性","107","25","2.9"
"551","シークレット・ランナー","49","82","2.8"
"552","バースト・マシンガール／マシンガール DEAD OR ALIVE","28","102","3.3"
"553","老人スパイ","69","60","3.2"
"554","親愛なる同志たちへ","49","78","3.6"
"555","Good Joe Bell（原題）","2","123","3.8"
"556","水俣曼荼羅","9","115","4.8"
"557","七人楽隊","35","87","3.8"
"558","ウルトラス","71","48","3.3"
"559","シークレット・ソサエティ ～王家第二子 秘密結社～","84","35","3.4"
"560","赤い惑星","30","87","3.9"
"561","あこがれの空の下　教科書のない小学校の一年","20","77","4.1"
"562","キリング・マシーン","46","48","3.2"
"563","新作歌舞伎『風の谷のナウシカ』","35","57","3.8"
"564","The Craft: Legacy（原題）","2","88","3.0"
"565","初仕事","53","34","3.3"
"566","サイレンシング","19","63","3.0"
"567","ネズラ 1964","21","61","3.1"
"568","迷子になった拳","13","69","3.5"
"569","Little Fish（原題）","1","78","3.0"
"570","スカイ・ミッション","51","25","2.2"
"571","ハクション!","18","56","3.3"
"572","かくも長き道のり","4","66","3.7"
"573","最後の入浴","36","34","3.5"
"574","Heaven: To The Land of Happiness（英題）","-","70","-"
"575","Blithe Spirit（原題）","-","70","-"
"576","ノートブック －愛するあなたへ－","37","29","3.5"
"577","This is Tokyo","45","21","3.0"
"578","Last Words（原題）","-","65","-"
"579","ローズメイカー 奇跡のバラ","1","62","3.0"
"580","セヴンティーン","46","16","2.8"
"581","CHAIN","-","62","-"
"582","オストラ －歌声を届けて－","51","9","3.2"
"583","俺を好きなのはお前だけかよ　俺たちのゲームセット","5","54","3.9"
"584","夜明け前のうた","-","58","-"
"585","BLOOD-CLUB DOLLS2","8","47","1.2"
"586","Passion simple（原題）","-","51","-"
"587","コスモボール／COSMOBALL","10","39","3.2"
"588","Collectors（英題）","5","44","3.2"
"589","忘れたくないのに定かじゃない","41","4","2.6"
"590","The Wolf of Snow Hollow（原題）","4","41","4.0"
"591","タイタンフォール 巨神降臨","22","21","1.6"
"592","Sun Children（原題）","1","38","3.8"
"593","猫のルーファスと魔法の王国","19","19","2.5"
"594","ビハインド・ユー　－その「何か」は、鏡の中にいる－","2","33","2.8"
"595","ヒロシマへの誓い サーロー節子とともに","17","17","4.3"
"596","Cosmetic DNA","18","16","3.7"
"597","The Kid Detective（原題）","6","27","3.1"
"598","Run Hide Fight（原題）","7","25","3.5"
"599","Forgotten We'll Be（英題）","11","20","3.5"
"600","John and the Hole（原題）","1","30","3.8"
"601","Home Front（原題）","-","27","-"
"602","I Don’t Fire Myself（英題）","-","27","-"
"603","ワールズエンドファンクラブLP","4","22","1.8"
"604","Shock Wave 2（英題）","2","23","3.7"
"605","ブリード・キャンプ　家畜収容所","7","11","2.2"
"606","ヘヴンクエスト　導かれし勇者達","12","5","1.4"
"607","Un medecin de nuit（原題）","-","17","-"
"608","The Metamorphosis of Birds（英題）","1","14","1.5"
"609","The Truffle Hunters（原題）","-","15","-"
"610","Enfant Terrible（原題）","-","14","-"
"611","All the Dead Ones（英題）","3","10","2.0"
"612","性春まみれ","9","4","3.4"
"613","からっぽのシュークリーム","3","9","4.1"
"614","P1H：新しい世界の始まり","-","12","-"
"615","Adverse（原題）","-","12","-"
"616","Charlatan（原題）","2","9","3.7"
"617","オペレーション・ローグ3 デス・オブ・ア・ネーション","6","4","2.3"
"618","Some Kind of Heaven（原題）","-","9","-"
"619","Limbo（原題）","3","5","3.4"
"620","マリセラ・エスコベド: 彼女は三度殺された","6","2","4.4"
"621","つれづれ","4","4","3.7"
"622","七つの大罪クラブ 生贄になった少女たち","-","8","-"
"623","蒼い経験 禁断SPECIAL","3","4","2.0"
"624","Flee（原題）","1","6","3.7"
"625","Baby Done（原題）","-","6","-"
"626","Memory House（原題）","2","3","2.0"
"627","Teddy（原題）","-","5","-"
"628","Un triomphe（原題）","-","5","-"
"629","ドラゴン・スクワッド","-","4","-"
"630","If It Were Love（英題）","2","2","2.0"
"631","「銀河自転車の夜2019」 最終章","4","-","4.3"
"632","STUCK - 漆黒の闇に蠢く影","3","1","2.6"
"633","BEFORE/AFTER","2","-","3.9"
"634","Back to the Wharf（英題）","-","1","-"
"635","劇場版 Fate/stay night Heaven's Feel Ⅲ.spring song","4290","2172","4.2"
"636","Minamata（原題）","5","2396","-"
"637","フェイフェイと月の冒険","814","694","3.3"
"638","ラブ、ウェディング、リピート","898","473","3.3"
"639","COMPLY+-ANCE コンプライアンス","329","1024","3.4"
"640","ボーイズ・イン・ザ・バンド","806","543","3.6"
"641","ゴリラのアイヴァン","266","993","3.6"
"642","銃2020","176","914","3.0"
"643","特別上映版「はたらく細胞!!」最強の敵、再び。体の中は“腸”大騒ぎ！","334","707","3.5"
"644","侍の名のもとに　野球日本代表　侍ジャパンの800日","738","283","3.9"
"645","愛は、365の日々で","847","149","2.8"
"646","希望のカタマリ","485","385","3.6"
"647","仮面ライダージオウ NEXT TIME ゲイツ、マジェスティ","545","322","3.6"
"648","The Sandman（原題）","4","851","-"
"649","グリーン・ランタン（原題）","10","843","4.0"
"650","弱虫スクービーの大冒険","68","734","3.4"
"651","君は彼方","136","642","2.2"
"652","呪われの橋","483","289","3.2"
"653","Untitled Mike Mills Project（原題）","2","750","-"
"654","建築と時間と妹島和世","170","580","2.9"
"655","Rifkin's Festival（原題）","-","712","-"
"656","魚座どうし","287","416","4.0"
"657","ゴブリンスレイヤー GOBLIN'S CROWN","509","191","3.2"
"658","妖怪人間ベラ","135","563","3.3"
"659","The Stunt Double（原題）","277","380","3.7"
"660","ラブバード","396","260","3.3"
"661","がんばれいわ!!ロボコン ウララ～！恋する汁なしタンタンメン!!の巻","243","402","3.3"
"662","名も無い日","3","636","3.8"
"663","夢追いウサギ","506","125","3.9"
"664","サイボーグ（原題）","-","630","-"
"665","ファンファーレが鳴り響く","116","506","3.3"
"666","「進撃の巨人」～クロニクル～","326","280","3.8"
"667","劇場版 騎士龍戦隊リュウソウジャーVSルパンレンジャーVSパトレンジャー","432","165","3.9"
"668","劇場短編 仮面ライダーセイバー 不死鳥の剣士と破滅の本","428","164","2.8"
"669","ATEOTD","56","533","3.6"
"670","日本人の忘れもの　フィリピンと中国の残留邦人","87","499","4.2"
"671","記憶の技法","115","459","3.3"
"672","友達やめた。","60","513","3.8"
"673","アンビアンス（原題）","10","561","3.0"
"674","機内モードな私","499","72","3.3"
"675","STAND STRONG","53","502","3.1"
"676","あるメイドの秘密","344","201","3.3"
"677","ラストデイズ・オブ・アメリカン・クライム","398","133","2.6"
"678","ママをやめてもいいですか!?","58","472","3.8"
"679","昼下がりの甘いパイ","342","186","3.4"
"680","映画プリキュアミラクルリープ みんなとの不思議な1日","287","239","3.8"
"681","Inheritance（原題）","29","494","2.9"
"682","アース・フォール JIU JITSU","74","426","2.9"
"683","その男、東京につき","113","386","3.9"
"684","Shadow in the Cloud（原題）","22","475","2.2"
"685","ロストベイベーロスト","119","374","3.5"
"686","仮面ライダー電王　プリティ電王とうじょう！","79","413","3.6"
"687","イズィ&オズィ","402","77","3.5"
"688","ショーン・メンデス　ありのままの魅力","359","116","4.0"
"689","Gretel & Hansel（原題）","20","444","2.9"
"690","少女☆歌劇 レヴュー・スタァライト 再生産総集編 ロンド・ロンド・ロンド","331","132","4.1"
"691","Love and Monsters（英題）","45","400","3.4"
"692","Three Thousand Years of Longing（原題）","1","441","-"
"693","Let Them All Talk（原題）","3","430","2.8"
"694","明日、キミのいない世界で","125","307","2.9"
"695","Dating Amber（原題）","7","424","4.0"
"696","Malignant（原題）","-","419","-"
"697","劇場版 Gのレコンギスタ II ベルリ撃進","269","147","3.8"
"698","東京バタフライ","102","311","3.6"
"699","別れる前にしておくべき10のこと","207","200","2.5"
"700","The King of Staten Island（原題）","50","356","3.6"
"701","愛のまなざしを","33","369","-"
"702","The Comeback Trail（原題）","2","400","2.0"
"703","レディ・トゥ・レディ","92","304","3.7"
"704","Mob Girl（原題）","2","391","-"
"705","映画 ふしぎ駄菓子屋　銭天堂","41","347","3.1"
"706","パラメディック －闇の救急救命士－","315","72","3.0"
"707","実りゆく","104","281","3.5"
"708","ブラック・ビューティー","96","289","3.6"
"709","劇場版 BEM ～BECOME HUMAN～","105","277","3.4"
"710","新卒ポモドーロ","35","345","4.0"
"711","New Order（英題）","3","377","3.6"
"712","不夜城の男","54","323","3.6"
"713","仕事と日（塩尻たよこと塩谷の谷間で)","6","364","3.9"
"714","The Human Voice（原題）","-","368","-"
"715","シネマ歌舞伎　三谷かぶき　月光露針路日本　風雲児たち","136","228","4.0"
"716","After Yang（原題）","-","357","-"
"717","クローゼット","102","249","3.7"
"718","TOKYO TELEWORK FILM","28","323","3.8"
"719","the believers ビリーバーズ","119","228","3.5"
"720","トラブル・ウィズ・ビーイング・ボーン","79","266","3.0"
"721","ゲキ×シネ「偽義経冥界歌」","188","154","4.0"
"722","MOTHERS","129","212","4.1"
"723","リッチな僕が恋したら","270","67","3.1"
"724","世界一初恋　プロポーズ編","138","196","3.6"
"725","鬼ガール！！","124","210","3.2"
"726","花のあとさき　ムツばあさんの歩いた道","101","229","4.2"
"727","Falling（原題）","6","323","3.5"
"728","TOKYO TELEPATH 2020","68","260","3.6"
"729","エポックのアトリエ 菅谷晋一がつくるレコードジャケット","43","284","3.9"
"730","Resistance（原題）","7","320","3.3"
"731","Words on Bathroom Walls（原題）","8","313","4.1"
"732","HoneyWorks 10th Anniversary “LIP×LIP FILM×LIVE”","152","166","3.6"
"733","ケアニン　こころに咲く花","39","268","4.0"
"734","たぶん","52","255","3.3"
"735","ベビーシッターのモンスターハンティング・ガイド","234","69","3.1"
"736","A Christmas Carol（原題）","-","303","-"
"737","オールデイ・アンド・ア・ナイト: 終身刑となった僕","161","140","3.4"
"738","Shirley（原題）","17","284","3.9"
"739","癒しのこころみ~自分を好きになる方法~","79","219","3.1"
"740","河童の女","106","192","3.3"
"741","Honest Thief（原題）","21","277","3.3"
"742","天才画家ダ・ヴィンチのすべて","26","266","3.6"
"743","Wild Mountain Thyme（原題）","2","274","3.4"
"744","いとみち","2","273","-"
"745","Irresistible（原題）","15","259","3.1"
"746","リョーマ！ The Prince of Tennis 新生劇場版テニスの王子様","1","272","-"
"747","The Nest（原題）","5","261","3.7"
"748","イエスかノーか半分か","59","206","3.8"
"749","Viena and the Fantomes（原題）","1","258","2.0"
"750","ヴァンガード／急先鋒","10","245","3.1"
"751","阪神タイガース THE MOVIE 猛虎神話集","115","139","3.4"
"752","Shadowed（原題）","183","70","3.4"
"753","ロストブレット　窮地のカーチェイス","189","59","3.0"
"754","The Eyes of Tammy Faye（原題）","-","248","-"
"755","Cut Throat City（原題）","2","241","2.8"
"756","荒野のコトブキ飛行隊 完全版","142","97","3.6"
"757","Josee (英題）","9","230","3.5"
"758","ディック・ジョンソンの死","103","134","3.9"
"759","ゲキ×シネ「けむりの軍団」","108","127","4.1"
"760","<U+2F2D>猫は眠らない8 暗殺者の終幕","88","144","3.3"
"761","ブラック・イズ・キング","106","126","3.9"
"762","魔進戦隊キラメイジャー エピソードZERO","181","50","3.0"
"763","わたしは元気","103","127","4.2"
"764","巨蟲列島","122","106","2.5"
"765","zk／頭脳警察50 未来への鼓動","44","180","3.8"
"766","蒼穹のファフナー THE BEYOND 第七話・第八話・第九話","128","96","4.3"
"767","映画 おかあさんといっしょ すりかえかめんをつかまえろ！","127","96","3.4"
"768","アップル","92","129","3.8"
"769","The Photograph（原題）","7","212","3.6"
"770","JUST ANOTHER","71","147","3.9"
"771","ノー・チョイス","65","153","3.6"
"772","The World to Come（原題）","1","216","3.0"
"773","セガvs.任天堂 Console Wars","150","66","3.5"
"774","Omniboat: A Fast Boat Fantasia（原題）","1","212","3.9"
"775","ほら、ここにいるよ　このちきゅうでくらすためのメモ","10","198","3.7"
"776","エージェント：ライオン","154","53","3.2"
"777","デリート・ヒストリー","103","104","3.5"
"778","モンスターストライク THE MOVIE ルシファー 絶望の夜明け","132","73","3.4"
"779","悲しき天使","41","161","3.2"
"780","あるアスリートの告発","120","81","3.8"
"781","Nine Days（原題）","3","196","3.5"
"782","I Still Believe（原題）","15","181","3.2"
"783","カム・アンド・ゴー","49","147","3.8"
"784","大阪少女","60","134","3.6"
"785","映画 人間椅子 バンド生活三十年","61","128","3.8"
"786","劇場特別版　カフカの東京絶望日記","48","140","3.6"
"787","海が青くなるまで泳ぐ","70","117","3.5"
"788","今日もまたクリスマス・イヴ","160","27","3.7"
"789","あなたみたいに、なりたくない。","135","51","2.7"
"790","バイク泥棒","56","130","3.3"
"791","人体のサバイバル！","128","53","3.2"
"792","ゼイ・リーチ-未知からの侵略者-","100","81","2.6"
"793","Let Him Go（原題）","12","168","3.5"
"794","特別上映版 ワールドトリガー2nd シーズン","85","93","4.1"
"795","花と沼","47","129","4.1"
"796","ディヴィジョン","6","170","3.0"
"797","サイコハウス 血を誘う家","14","162","3.0"
"798","映画おしりたんてい テントウムシいせきの なぞ","67","108","3.3"
"799","無聲","67","108","3.7"
"800","LA発オリジナルズ ～チカーノ・パワー～","134","41","3.9"
"801","おかあさんの被爆ピアノ","56","118","3.6"
"802","目指せ! スーパースター","132","42","3.2"
"803","ナイト・サバイバー","61","112","2.1"
"804","フィニアスとファーブ／ザ・ムービー：キャンディス救出大作戦","115","58","3.9"
"805","誘惑は死の香り","136","34","2.7"
"806","サラ・クーパーのすべて順調","8","162","3.0"
"807","ハンディキャップ・キャンプ: 障がい者運動の夜明け","55","114","3.9"
"808","Last and First Men（原題）","7","162","3.8"
"809","サイレント・ウォーター","71","97","2.8"
"810","LOVE STAGE!!","12","156","3.9"
"811","Becky（原題）","12","156","3.3"
"812","夜明けを信じて。","63","104","3.6"
"813","フィルムに宿る魂","6","159","3.0"
"814","愛してるよバカ","133","31","3.3"
"815","The Souvenir: Part II（原題）","-","164","-"
"816","マリアの旅","79","85","3.5"
"817","いけいけ！バカオンナ～我が道を行け～","61","102","3.5"
"818","結婚は慎重に！","61","102","3.5"
"819","土と血","106","56","2.9"
"820","Valley Girl（原題）","6","156","2.4"
"821","ファミリー・クライム <U+2013>ある家族の過ち<U+2013>","103","56","3.5"
"822","感謝離 ずっと一緒に","35","120","3.7"
"823","Come Away（原題）","7","147","2.7"
"824","足を探して","50","104","3.5"
"825","ゴーカーツ","121","32","3.5"
"826","殻を破る","125","28","3.8"
"827","シントイア・ブラウン: 裁きと赦し","107","45","3.5"
"828","ストレンジ・ワールド　異世界への招待状","100","51","2.0"
"829","映画　ねこねこ日本史　龍馬のはちゃめちゃタイムトラベルぜよ！","62","86","3.2"
"830","機械仕掛けの君","70","77","3.1"
"831","Visit（英題）","82","65","3.7"
"832","Made in Italy（原題）","3","144","2.0"
"833","ペーパー・ハウス: 人気の秘密に迫る","94","52","3.9"
"834","ラヴ・アフェアズ","46","99","3.5"
"835","強がりカポナータ","38","104","4.0"
"836","愛しの故郷","22","119","3.4"
"837","Lost Girls and Love Hotels（原題）","4","136","2.7"
"838","My Salinger Year（原題）","2","137","2.5"
"839","「宇宙戦艦ヤマト」という時代　西暦2202年の選択","2","135","4.7"
"840","Psycho Goreman（原題）","8","129","3.9"
"841","劇場版 声優男子ですが・・・？ ～これからの声優人生の話をしよう～","12","123","3.6"
"842","The Best Is Yet To Come（英題）","27","108","3.8"
"843","Pixie（原題）","3","131","2.6"
"844","ライジング・ハイ","78","55","3.0"
"845","ある職場／些細なこだわり","28","105","3.5"
"846","チャンケ：よそ者","48","85","3.7"
"847","チンパンジー属","65","67","3.3"
"848","バイバイ、ヴァンプ","35","96","1.8"
"849","屋根裏の巳已己","71","60","4.1"
"850","スプリンパン　まえへすすもう！","111","20","2.8"
"851","生きる、理屈","26","105","3.7"
"852","THE ORAL CIGARETTES「PARASITE DEJAVU THE MOVIE」 Live Documentary 纏繞の光景","84","47","4.8"
"853","ドラゴンハート -明日への希望-","37","93","2.6"
"854","HERO～2020～","21","108","2.8"
"855","The Empty Man（原題）","2","126","1.5"
"856","The Secrets We Keep（原題）","4","123","2.6"
"857","Songbird（原題）","2","125","2.5"
"858","シン・ランペイジ 巨獣大決戦","73","53","2.3"
"859","リスタート","-","125","-"
"860","Showtime（原題）","-","125","-"
"861","Unpregnant（原題）","9","116","3.3"
"862","アナザー・ワールド 異次元の怪物","48","76","3.0"
"863","Le Cerveau - セルヴォ -","117","7","2.2"
"864","そそがれ","62","62","3.2"
"865","モラル・オーダー","58","66","3.4"
"866","スモーキー・アンド・ビター","3","120","5.0"
"867","グリザイア：ファントムトリガー THE ANIMATION スターゲイザー","54","69","3.7"
"868","ミセス・シリアルキラー","64","59","2.9"
"869","大綱引の恋","16","107","3.5"
"870","スピードキューバーズ: 世界を見据えて","86","37","3.7"
"871","Downhill（原題）","21","101","2.7"
"872","An American Pickle（原題）","13","109","2.8"
"873","恐怖のアンソロジー","83","38","2.5"
"874","スレート","62","59","3.2"
"875","リバー","7","112","2.5"
"876","兎たちの暴走","47","72","3.5"
"877","TOKYOドラゴン飯店","18","99","3.1"
"878","ノットゥルノ／夜","68","49","3.2"
"879","ゴッドマザー","18","99","3.2"
"880","白爪草","62","54","4.1"
"881","アルマゲドン2020","48","67","1.6"
"882","オマールの父","71","44","3.4"
"883","フェイス・ベースド ダメ男ふたりが人生で一発逆転する方法","14","100","3.0"
"884","The Policeman's Lineage（英題）","2","111","3.6"
"885","赦し","59","54","3.2"
"886","Zola（原題）","1","112","4.0"
"887","劇場版HAYABUSA２～REBORN","25","87","3.8"
"888","フィン","61","50","4.1"
"889","愛しい存在","58","53","3.4"
"890","オロトゥーレ","95","15","3.4"
"891","ソル・レヴァンテ","98","12","2.9"
"892","ホワイトシャーク　海底の白い死神","63","46","2.2"
"893","遺灰との旅","62","46","3.3"
"894","はぐれアイドル 地獄変","17","90","3.3"
"895","The Call（原題）","48","58","3.5"
"896","突然失礼致します！","31","74","4.3"
"897","生きている","88","17","3.2"
"898","辰巳","-","104","-"
"899","Wendy（原題）","8","96","3.7"
"900","昨日より赤く明日より<U+2ED8>く-CINEMA FIGHTERS project-","-","103","-"
"901","二月","57","46","3.4"
"902","Mogul Mowgli（原題）","8","95","4.0"
"903","ザ・シックス・ビリオン・ダラー・マン（原題）","-","102","-"
"904","もとめたせい","53","47","3.7"
"905","鈴木さん","28","72","3.4"
"906","第一炉香","29","71","3.6"
"907","コロナウイルス　感染者","41","58","2.0"
"908","へんしんっ！","49","49","3.8"
"909","人生はあるがままに","73","25","3.2"
"910","父、兵士、その息子","56","42","4.0"
"911","ハピネスは続く：ジョナス・ブラザーズ コンサート","50","48","4.0"
"912","悪の絵","50","48","3.2"
"913","アンダーワールド 新種襲来","60","37","1.9"
"914","エクスペリメント・アット・セントレオナルズ女子刑務所","50","46","2.4"
"915","She Dies Tomorrow（原題）","10","86","2.9"
"916","君の視線が止まる先に","52","44","3.6"
"917","コケシ・セレナーデ","16","79","3.5"
"918","狭霧の國","31","64","3.4"
"919","La France contre les robots（原題）","74","21","3.5"
"920","ファン・ガール","38","57","3.0"
"921","恋唄1980","46","48","3.2"
"922","宇宙戦艦ヤマト2205 新たなる旅立ち","-","93","-"
"923","The Salt of Tears（英題）","6","87","2.9"
"924","The Broken Hearts Gallery（原題）","9","84","3.4"
"925","Don't Tell A Soul（原題）","1","92","3.0"
"926","吉祥寺ゴーゴー","26","66","3.7"
"927","デッドヒート","19","72","2.3"
"928","恋の墓","21","70","3.4"
"929","ヤルタ会談オンライン","42","49","2.9"
"930","Siberia（原題）","3","88","2.3"
"931","ディープロジック","24","66","3.6"
"932","ムチノセカイ","27","63","3.6"
"933","平静","43","47","2.7"
"934","閉じ込めた吐息","1","88","-"
"935","シークレット・ウォー　ナチス極秘計画","44","44","2.6"
"936","ボディカメラ","44","44","2.8"
"937","ダンシング・マリー","4","84","-"
"938","folklore ロングポンド・スタジオ・セッション","56","32","4.2"
"939","Dear Santa（原題）","2","86","-"
"940","ドリー・パートンのクリスマス・オン・ザ・スクエア","51","35","3.2"
"941","再会の奈良","10","76","3.4"
"942","アフター・ラヴ","32","54","3.8"
"943","Winny","-","85","-"
"944","ムーラン 美しき英雄","30","54","2.4"
"945","ムーラン　戦場の花","52","32","2.5"
"946","劇場版ほんとうにあった怖い話2020 呪われた家","20","64","2.1"
"947","マスカ ～夢と幸せの味～","50","34","3.5"
"948","イエローキャット","50","33","3.6"
"949","普通に死ぬ　いのちの自立","9","73","3.8"
"950","現在地はいづくなりや　映画監督東陽一","13","68","3.8"
"951","DNA（英題）","1","80","2.0"
"952","アラヤ","39","42","3.2"
"953","シングル・フレンズ ～そんな恋愛やめちゃえば?～","70","10","2.9"
"954","Love, Weddings & Other Disasters（原題）","-","79","-"
"955","デート・ア・バレット　ナイトメア・オア・クイーン","12","66","3.2"
"956","ハチとパルマの物語","-","78","-"
"957","迂闊な犯罪","43","35","3.5"
"958","やむなきこと","60","17","2.7"
"959","スウェット","43","33","3.1"
"960","デイ・オブ・ザ・ロード","55","21","2.8"
"961","The Stand In（原題）","2","74","-"
"962","メビウスの悪女 赤い部屋","21","54","3.1"
"963","もしもあたしたちがサイサイじゃなかったら。","8","67","3.5"
"964","劇場版 ヨナス・カウフマン ウィーンコンサート","14","61","3.9"
"965","move / 2020","39","36","2.9"
"966","まるだせ金太狼","19","55","2.3"
"967","アルム","41","33","3.9"
"968","Le prince oublie（原題）","1","73","3.5"
"969","異物","2","72","-"
"970","エイリアン・Xマス","40","33","3.2"
"971","Summerland（原題）","8","64","3.6"
"972","アルティメット・ソルジャー","33","38","2.1"
"973","タネは誰のもの","15","56","3.9"
"974","The Trip to Greece（原題）","14","57","3.0"
"975","思い出たち","59","12","3.4"
"976","ディメンション","43","27","2.6"
"977","Challenged チャレンジド","23","47","3.6"
"978","Death of Me（原題）","8","62","2.1"
"979","City Hall（原題）","1","69","-"
"980","やわらかい季節","33","36","3.2"
"981","蛾の光","33","36","2.8"
"982","照射されたものたち","41","28","3.3"
"983","クイーンギャング 怒りのリベンジ・ライド","29","39","2.0"
"984","とってもゴースト","11","57","1.0"
"985","冬のほつれまで","50","18","3.4"
"986","Pig（原題）","-","68","-"
"987","Connected（原題）","-","68","-"
"988","メグ・ライオン","21","46","3.0"
"989","Canvas（原題）","60","7","3.2"
"990","WAVE!! サーフィンやっぺ!!　第一章","19","47","3.5"
"991","ジャパニーズ スタイル Japanese Style","-","66","-"
"992","Titane（原題）","-","66","-"
"993","制作・出演陣が語るボーイズ・イン・ザ・バンド","34","32","3.6"
"994","親知らず","42","23","3.3"
"995","のびた関係","48","17","3.8"
"996","HITOMA","57","8","3.4"
"997","Wander Darkly（原題）","2","63","3.9"
"998","ドリーム・ビルダーズ ミナと秘密の夢工場","27","37","3.2"
"999","Fatima（原題）","5","59","3.4"
"1000","それいけ！アンパンマン　ふわふわフワリ―と雲の国","2","62","-"
"1001","ヒロシマ・ナガサキ：75年前の真実","45","19","3.1"
"1002","How to Be a Good Wife（英題）","1","63","3.5"
"1003","いちご飴","54","10","3.1"
"1004","音楽家","54","10","3.3"
"1005","One Second（英題）","8","55","3.5"
"1006","Chhapaak（原題）","-","63","-"
"1007","遠上恵未(24)","41","21","3.4"
"1008","シネマ歌舞伎 廓文章　吉田屋","48","14","4.0"
"1009","Showbiz Kids（原題）","1","61","3.5"
"1010","家庭裁判所　第3H法廷","35","27","3.3"
"1011","隔離","43","19","3.2"
"1012","Target Number One（原題）","1","61","3.0"
"1013","適応","1","61","-"
"1014","応天門の変","8","53","2.3"
"1015","モスキート","26","35","3.5"
"1016","祭りの後は祭りの前","9","51","4.4"
"1017","Elyse（原題）","-","60","-"
"1018","残光に祈りを","37","22","3.6"
"1019","Funny Face（原題）","1","58","3.1"
"1020","The Swordsman（英題）","5","54","4.1"
"1021","Dawn","44","15","3.2"
"1022","キャプテン・プードル","19","39","3.4"
"1023","ハイファの夜","37","21","3.0"
"1024","息がつまりそう","32","25","2.9"
"1025","アカリとマキコ","51","6","3.4"
"1026","ハカイ団の野望 悲劇！オンライン会議の結末","50","7","3.1"
"1027","The Postcard Killings（原題）","1","55","1.5"
"1028","ブルーヘブンを君に","-","56","-"
"1029","悠久の地、サッカラ遺跡: 眩き時代を語る","44","12","3.8"
"1030","The Host（原題）","3","53","2.7"
"1031","Miss Juneteenth（原題）","6","50","3.7"
"1032","Sumo（原題）","-","56","-"
"1033","岸辺","49","7","3.1"
"1034","頭痛が痛い","32","23","3.9"
"1035","荒れ地","30","25","3.5"
"1036","Archenemy（原題）","1","54","4.0"
"1037","傍観者あるいは偶然のテロリスト","10","44","3.8"
"1038","Arkansas（原題）","7","47","2.4"
"1039","でぃすたんす","5","49","3.8"
"1040","ライジング・フェニックス　パラリンピックと人間の可能性","32","22","4.2"
"1041","Kill It and Leave This Town（原題）","11","43","3.5"
"1042","一本のワイン","35","19","2.7"
"1043","Girl（原題）","-","54","-"
"1044","映画　きかんしゃトーマス　チャオ！とんでうたってディスカバリー!!","29","24","2.8"
"1045","2067（原題）","8","45","2.4"
"1046","バージン協奏曲 それゆけ純白パンツ！","10","43","3.1"
"1047","帰ってきたアメリカン・パイ ~アゲアゲJKニュー・ジェネレーション~","21","32","2.8"
"1048","High Ground（原題）","1","52","3.0"
"1049","Beginning（原題）","2","51","4.5"
"1050","たわわなときめき","13","39","3.5"
"1051","ブラック・リッジ","1","51","2.1"
"1052","孤独の夜","25","27","3.1"
"1053","ムカチノカチカ","26","26","4.0"
"1054","コーンフレーク","31","21","3.8"
"1055","ファイヤーボール　宇宙からの来訪者","13","39","3.2"
"1056","Persian Lessons（原題）","2","50","3.6"
"1057","私のママでいる","38","14","3.1"
"1058","Echo Boomers（原題）","-","52","-"
"1059","新青春","21","30","3.6"
"1060","トマトは大嫌い","48","3","2.8"
"1061","Think Like a Dog（原題）","8","43","3.1"
"1062","Wander（原題）","1","50","-"
"1063","マジック・ワールド ビーストと闇の支配者","27","23","2.3"
"1064","ドラマクイーン　フルコーラス","38","12","2.6"
"1065","ランニング・デッド／THE RUNNING DEAD","28","22","2.6"
"1066","ぼくだけの宿題","35","15","3.5"
"1067","プレイヤー ～浮気男のラプソディ～","39","11","2.9"
"1068","きっと大丈夫","21","29","3.8"
"1069","ダイナソ―・デイナ","23","26","2.7"
"1070","チャイニーズ・ゴースト・ストーリー","12","37","3.3"
"1071","奇跡との出会い。―心に寄り添う。３―","17","32","4.2"
"1072","FRIDAY","9","40","3.5"
"1073","Infamous（原題）","3","46","2.3"
"1074","The Windermere Children（原題）","4","45","4.2"
"1075","The Evening Hour（原題）","1","48","3.5"
"1076","マリブ・レスキューチーム: ネクストウェーブ","44","5","3.0"
"1077","The Disciple（原題）","2","47","3.5"
"1078","アネルカ: 天才プレーヤーの素顔","39","10","3.7"
"1079","ティティ","21","28","3.2"
"1080","サヴェージＸフェンティ･ショー２","34","15","4.1"
"1081","Sister","35","13","3.6"
"1082","Fear of missing out","33","15","3.4"
"1083","West End Girls","35","13","3.3"
"1084","タイガーハンター　水滸外伝","22","25","3.5"
"1085","りさいくるずー　まもれ！もくようびは資源ごみの日","38","9","3.0"
"1086","蛋ヶ岳学会事件","34","13","2.7"
"1087","フィアレス　スーパー・ベイビーズに立ち向かえ！","15","32","2.9"
"1088","父親募集中","36","11","3.2"
"1089","レジェンド・オブ・キングダム 勇者マイロックと聖なる甲冑の伝説","37","9","1.7"
"1090","パンク","31","15","3.2"
"1091","じょりく!","5","40","1.2"
"1092","アスタースクールデイズ","33","12","3.6"
"1093","辻占恋慕","-","45","-"
"1094","M!LK Juvenilizm 青春主義 Special Short Film","16","29","4.2"
"1095","2 Hearts（原題）","1","44","3.4"
