"","title","marks","clips","score"
"128","マ・レイニーのブラックボトム","809","1015","3.7"
"129","空っぽの場所","197","28","3.2"
"130","シン・エヴァンゲリオン劇場版","342","26151","-"
"131","初恋","8101","14398","3.8"
"132","mellow","7409","9097","3.6"
"133","キスから始まるものがたり2","7176","2355","3.8"
"134","ビルとテッドの時空旅行 音楽で世界を救え！","1879","6936","3.7"
"135","プリンセス・プリンシパル Crown Handler 第1章","147","469","4.0"
"136","AI崩壊","9260","9026","3.4"
"137","星の子","3758","12417","3.6"
"138","影裏","3026","10491","3.3"
"139","君が世界のはじまり","1790","6429","3.8"
"140","ウルフウォーカー","1938","5514","4.1"
"141","ノッティングヒルの洋菓子店","538","4110","3.4"
"142","ヒルビリー・エレジー -郷愁の哀歌-","1264","2014","3.7"
"143","Summer of 85（英題）","40","1521","3.7"
"144","本気のしるし　劇場版","810","2772","4.1"
"145","ズーム／見えない参加者","714","1791","3.3"
"146","私がモテてどうすんだ","795","914","3.4"
"147","スカイライン －逆襲－","40","774","3.3"
"148","僕が跳びはねる理由","3","311","5.0"
"149","陰陽師: とこしえの夢","201","69","3.5"
"150","三島由紀夫vs東大全共闘 50年目の真実","3921","8263","4.0"
"151","ザ・ファイブ・ブラッズ","3037","5189","3.8"
"152","アンダードッグ 前編","1108","5131","4.0"
"153","ザ・ベビーシッター ～キラークイーン～","3785","1623","3.6"
"154","滝沢歌舞伎 ZERO 2020 The Movie","1866","849","4.1"
"155","Another Round（英題）","39","1356","3.8"
"156","さらば！2020年","763","546","3.7"
"157","AGANAI 地下鉄サリン事件と私","1","242","-"
"158","さくら","1482","10651","3.5"
"159","映画ドラえもん のび太の新恐竜","5118","3414","3.8"
"160","スペンサー・コンフィデンシャル","5155","1972","3.4"
"161","子供はわかってあげない","130","4091","3.9"
"162","監視資本主義　デジタル社会がもたらす光と影","2434","1308","3.9"
"163","ノクターン","877","1915","3.4"
"164","スタントウーマン ハリウッドの知られざるヒーローたち","705","1977","3.7"
"165","フィールズ・グッド・マン","11","1102","4.0"
"166","スターガール","377","544","3.6"
"167","水を抱く女","15","644","3.6"
"168","潔白","11","307","3.6"
"169","トップガン マーヴェリック","130","15400","-"
"170","弥生、三月-君を愛した３０年-","2651","5643","3.2"
"171","とんかつDJアゲ太郎","2895","5288","3.5"
"172","喜劇 愛妻物語","1345","5473","3.6"
"173","レベッカ","2641","4140","3.4"
"174","僕たちの嘘と真実 Documentary of 欅坂46","3480","1950","4.2"
"175","461個のおべんとう","1277","3901","3.7"
"176","マイ・スパイ","1193","1465","3.6"
"177","アメリカン・マーダー: 一家殺害事件の実録","1567","583","3.5"
"178","ザ・グラッジ 死霊の棲む屋敷","432","1502","3.1"
"179","Emma. （原題）","67","1805","3.6"
"180","クラウズ 雲の彼方へ","228","333","4.1"
"181","バッドボーイズ　フォー・ライフ","7998","9237","3.7"
"182","ワイルド・スピード／ジェットブレイク","65","11627","-"
"183","おらおらでひとりいぐも","1499","5178","3.7"
"184","ソワレ","1773","4655","3.7"
"185","アンダードッグ 後編","1005","2300","4.1"
"186","アイヌモシリ","714","2269","3.9"
"187","そこにいた男","1555","1009","3.1"
"188","スプリー","19","862","3.4"
"189","ある用務員","105","723","3.7"
"190","アウトポスト","24","679","3.8"
"191","アンコントロール","1","271","4.0"
"192","劇場版メイドインアビス　深き魂の黎明","4564","2704","4.1"
"193","ソニック・ザ・ムービー","3491","3735","3.6"
"194","映像研には手を出すな！","1947","3544","3.6"
"195","のぼる小寺さん","1771","3322","3.9"
"196","ムヒカ 世界でいちばん貧しい大統領から日本人へ","461","3181","4.0"
"197","コリアタウン殺人事件","1495","1555","3.2"
"198","峠 最後のサムライ","6","1897","-"
"199","ヒーローキッズ","1398","397","3.2"
"200","続・ボラット 栄光ナル国家だったカザフスタンのためのアメリカ貢ぎ物計画","1103","683","3.8"
"201","椿の庭","4","731","-"
"202","Antebellum（原題）","21","606","3.5"
"203","にしきたショパン","1","49","4.2"
"204","野性の呼び声","3420","4826","3.6"
"205","ユーロビジョン歌合戦 ～ファイア・サーガ物語～","1492","1340","3.7"
"206","はりぼて","924","1824","4.0"
"207","Work It 輝けわたし！","2323","375","3.6"
"208","3年目のデビュー","1866","797","4.0"
"209","ヒットマン エージェント：ジュン","511","866","3.7"
"210","40歳の解釈: ラダの場合","223","291","3.9"
"211","ミス・アメリカーナ","4245","1973","4.1"
"212","ネクスト・ドリーム／ふたりで叶える夢","952","4406","3.8"
"213","劇場版 SHIROBAKO","3080","1621","4.0"
"214","PSYCHO-PASS サイコパス 3 FIRST INSPECTOR","2618","2071","3.7"
"215","なぜ君は総理大臣になれないのか","1671","2882","4.1"
"216","アンダーウォーター","1179","3254","3.4"
"217","サイダーのように言葉が湧き上がる","49","3503","3.7"
"218","シライサン","1476","1758","3.0"
"219","滑走路","678","2514","3.7"
"220","フィール・ザ・ビート","2067","875","3.6"
"221","恋する寄生虫","-","2174","-"
"222","燃えよデブゴン／TOKYO MISSION","819","1141","3.7"
"223","ラブ・ギャランティード","1282","437","3.3"
"224","18歳の""やっちまえ""リスト","1234","395","3.5"
"225","ヒノマルソウル～舞台裏の英雄たち～","14","1468","-"
"226","アフター -壊れる絆-","1122","297","3.5"
"227","Never, Rarely, Sometimes, Always（原題）","30","846","4.3"
"228","これからの人生","371","312","3.6"
