title,score
子供はわかってあげない,3.9
性の劇薬,2.7
アメリカン・マーダー: 一家殺害事件の実録,3.5
ヒーローキッズ,3.2
私がモテてどうすんだ,3.4
"18歳の""やっちまえ""リスト",3.5
アフター -壊れる絆-,3.5
これからの人生,3.6
Antebellum（原題）,3.5
クラウズ 雲の彼方へ,4.1
スカイ・シャーク,3.8
クレイジーズ 42日後,2.1
Welcome to Chechnya（原題）,4.1
映画ドラえもん のび太の新恐竜,3.8
ザ・ファイブ・ブラッズ,3.8
とんかつDJアゲ太郎,3.5
デジモンアドベンチャー LAST EVOLUTION 絆,4.0
空に住む,3.3
記憶屋 あなたを忘れない,3.2
弱虫ペダル,3.7
461個のおべんとう,3.7
ピーターラビット２／バーナバスの誘惑,3.3
アイヌモシリ,3.9
3年目のデビュー,4.0
峠 最後のサムライ,-
Emma. （原題）,3.6
君の心に刻んだ名前,3.8
椿の庭,-
アンビアンス（原題）,3.0
シティーコップ 余命30日?!のヒーロー,3.5
国際捜査！,2.9
スプートニク,2.8
劇場版メイドインアビス　深き魂の黎明,4.1
Daughters,3.7
ホリデーオンリー: とりあえずボッチ回避法?,3.5
PSYCHO-PASS サイコパス 3 FIRST INSPECTOR,3.7
一度も撃ってません,3.4
シライサン,3.0
フィール・ザ・ビート,3.6
クリスマス・クロニクル PART2,3.6
ユーロビジョン歌合戦 〜ファイア・サーガ物語〜,3.7
8日で死んだ怪獣の12日の物語,3.4
はりぼて,4.0
マイ・スパイ,3.6
続·ボラット 栄光ナル国家だったカザフスタンのためのアメリカ貢ぎ物計画,3.8
獣の棲む家,3.1
ヒノマルソウル～舞台裏の英雄たち～,-
その住人たちは,3.3
グレイス －消えゆく幸せ－,3.4
ボイス －深淵からの囁き－,3.2
Supernova（原題）,4.0
ローズ島共和国 ～小さな島の大波乱～,3.6
きまじめ楽隊のぼんやり戦争,4.1
ミリオンダラー・スティーラー　史上最大の作戦,3.4
映像研には手を出すな！,3.6
アンダーウォーター,3.4
破壊の日,3.5
BURN THE WITCH,3.8
滑走路,3.7
緊急事態宣言,3.1
みをつくし料理帖,3.6
どうにかなる日々,3.5
アーニャは、きっと来る,3.6
燃えよデブゴン／TOKYO MISSION,3.7
